ID1	ID2	group	secondary_group
1	TS-1	BIG	cul
2	TS-11	BIG	cul
3	TS-12	BIG	cul
4	TS-13	CER	wild
5	TS-14	PIM	wild
6	TS-15	PIM	wild
7	TS-16	PIM	wild
8	TS-17	PIM	wild
9	TS-18	PIM	wild
10	TS-19	PIM	wild
11	TS-2	BIG	cul
12	TS-20	PIM	wild
13	TS-21	PIM	wild
14	TS-22	PIM	wild
15	TS-23	PIM	wild
16	TS-24	PIM	wild
17	TS-25	CER	cul
18	TS-26	CER	cul
19	TS-27	CER	cul
20	TS-28	CER	un
21	TS-29	CER	cul
22	TS-3	BIG	cul
23	TS-30	CER	wild
24	TS-31	CER	wild
25	TS-32	CER	cul
26	TS-33	CER	wild
27	TS-34	CER	wild
28	TS-35	CER	un
29	TS-36	CER	cul
30	TS-37	CER	wild
31	TS-38	CER	cul
32	TS-39	CER	cul
33	TS-4	BIG	cul
34	TS-40	CER	cul
35	TS-5	BIG	cul
36	TS-6	BIG	cul
37	TS-7	BIG	cul
38	TS-8	BIG	cul
39	TS-9	BIG	cul
40	TS-300	CER	wild
41	TS-301	CER	wild
42	TS-302	CER	wild
43	TS-303	CER	wild
44	TS-304	CER	cul
45	TS-305	F1	F1
46	TS-306	F1	F1
47	TS-307	F1	F1
48	TS-308	F1	F1
49	TS-309	F1	F1
50	TS-310	F1	F1
51	TS-311	F1	F1
52	TS-312	F1	F1
53	TS-313	F1	F1
54	TS-314	F1	F1
55	TS-315	F1	F1
56	TS-316	F1	F1
57	TS-317	F1	F1
58	TS-318	F1	F1
59	TS-319	F1	F1
60	TS-320	F1	F1
61	TS-321	F1	F1
62	TS-400	BIG	cul
63	TS-401	BIG	cul
64	TS-402	peru	wild
65	TS-403	peru	wild
66	TS-404	preu	wild
67	TS-407	habro	wild
68	TS-408	peru	wild
69	TS-409	BIG	lan
70	TS-41	BIG	un
71	TS-410	PIM	wild
72	TS-411	PIM	wild
73	TS-412	PIM	wild
74	TS-413	PIM	wild
75	TS-414	PIM	wild
76	TS-415	PIM	wild
77	TS-416	PIM	wild
78	TS-417	PIM	wild
79	TS-418	PIM	wild
80	TS-419	PIM	wild
81	TS-42	BIG	cul
82	TS-420	PIM	wild
83	TS-421	PIM	wild
84	TS-422	PIM	wild
85	TS-423	CER	wild
86	TS-424	PIM	wild
87	TS-425	PIM	wild
88	TS-426	CER	wild
89	TS-427	CER	wild
90	TS-428	CER	wild
91	TS-429	PIM	wild
92	TS-43	BIG	cul
93	TS-430	CER	wild
94	TS-431	CER	wild
95	TS-432	PIM	wild
96	TS-433	PIM	wild
97	TS-434	PIM	wild
98	TS-435	PIM	wild
99	TS-436	CER	wild
100	TS-437	PIM	wild
101	TS-438	PIM	wild
102	TS-439	PIM	wild
103	TS-44	BIG	lan
104	TS-440	PIM	wild
105	TS-441	PIM	wild
106	TS-45	BIG	cul
107	TS-46	BIG	cul
108	TS-47	BIG	cul
109	TS-48	BIG	lan
110	TS-49	BIG	cul 
111	TS-50	PIM	wild
112	TS-51	BIG	un
113	TS-52	BIG	cul
114	TS-53	CER	wild
115	TS-54	CER	cul
116	TS-55	BIG	un
117	TS-56	CER	wild
118	TS-57	CER	wild
119	TS-58	BIG	cul
120	TS-59	BIG	cul
121	TS-60	BIG	cul
122	TS-61	CER	wild
123	TS-62	CER	un
124	TS-63	CER	un
125	TS-64	CER	un
126	TS-65	CER	wild
127	TS-66	CER	wild
128	TS-67	CER	un
129	TS-68	BIG	lan
130	TS-69	BIG	lan
131	TS-70	CER	cul
132	TS-71	CER	cul
133	TS-72	CER	cul
134	TS-73	un	BIGdispersed
135	TS-74	BIG	cul
136	TS-75	CER	cul
137	TS-76	BIG	cul
138	TS-77	PIM	wild
139	TS-78	BIG	cul
140	TS-79	PIM	wild
141	TS-80	BIG	cul
142	TS-81	BIG	cul
143	TS-82	BIG	cul
144	TS-83	CER	cul
145	TS-84	CER	un
146	TS-85	BIG	un
147	TS-86	BIG	un
148	TS-87	CER	wild
149	TS-88	BIG	un
150	TS-89	BIG	cul
