lat	long	depth	class	tomato_ID
0.583333	-77.933333	5.163586983	PIM	TS-14
-3.628056	-79.888056	4.381655854	PIM	TS-15
-3.99	-79.36	5.139386824	PIM	TS-16
-9.94	-78.23	4.836386758	PIM	TS-17
-6.59	-79.87	4.850459025	PIM	TS-18
-8.39	-78.74	4.781217134	PIM	TS-19
-9.481667	-78.259167	4.856879359	PIM	TS-20
-13.074722	-76.4025	4.656328328	PIM	TS-21
-11.475	-77.108333	4.720659963	PIM	TS-22
-12.764722	-76.505278	4.715516691	PIM	TS-23
-2.733333	-79.916667	5.852481608	PIM	TS-50
0.866667	-79.85	6.058031694	PIM	TS-77
-14.628889	-75.214167	8.722457281	PIM	TS-79
-6.15	-79.733333	3.257500685	PIM	TS-92
-8.116667	-79.033333	4.837679763	PIM	TS-123
-3.458333	-79.966667	4.863150987	PIM	TS-124
-1.1	-79.483333	5.663052223	PIM	TS-144
-3.566667	-80.466667	2.28532447	PIM	TS-145
-5.775833	-78.783056	6.193022824	PIM	TS-156
-6.37	-79.79	8.905418729	PIM	TS-164
-5.74	-78.67	3.448377246	PIM	TS-182
-7.333333	-79.583333	5.473923076	PIM	TS-244
-5.260833	-79.964167	5.493283293	PIM	TS-265
-5.216667	-80.083333	6.883085277	PIM	TS-266
-13.98147	-64.49499	18.11148247	PIM	TS-267*
-8.39	-78.74	4.474639933	PIM	TS-291
64.33551	-117.31062	10.55498435	PIM	TS-410
-14.06127	-75.72969	6.613751496	PIM	TS-411
-8.116667	-79.033333	4.461182874	PIM	TS-412
-2.19123	-79.89157	7.122014314	PIM	TS-413
-11.970833	-76.791667	5.128574804	PIM	TS-414
-8.925	-78.566667	7.740410604	PIM	TS-415
-15.456389	-74.445833	6.086306467	PIM	TS-417
-7.2	-78.983333	5.920717177	PIM	TS-418
-7.16046	-78.51193	6.072035349	PIM	TS-419
-5.5875	-78.550556	5.805430484	PIM	TS-420
-5.925	-78.05	5.784964767	PIM	TS-421
-12.03142	-77.03767	4.894699763	PIM	TS-424
