sample	ID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	group
TS-13	4	0.00628681	-0.0337387	-0.0639802	0.0257606	0.00608028	-0.0321875	-0.0175443	0.05316	-0.00549128	-0.0943571	CER
TS-14	5	-0.101363	-0.0310995	0.017519	-0.0107736	-0.00894652	0.0220529	-0.00665815	0.00287882	0.00581366	-0.00223119	PIM
TS-15	6	-0.157369	0.254797	0.102041	-0.00201373	-0.119966	-0.0944486	0.0147525	0.0225673	0.065681	-0.0275433	PIM
TS-16	7	-0.150504	0.174916	0.0813546	-0.0443301	-0.229174	-0.180038	-0.0076078	-0.105608	0.0815889	-0.012913	PIM
TS-17	8	-0.0957074	-0.10163	0.00284205	0.0143593	0.013071	0.0272892	-0.00636436	0.00812135	-0.00948361	-0.0213254	PIM
TS-18	9	-0.0933749	-0.0934756	0.0056288	0.0144637	0.0119666	0.0277042	-0.00527872	0.0128064	-0.00583812	-0.0167659	PIM
TS-19	10	-0.0910494	-0.0950791	0.003986	0.0112898	0.0136674	0.0331804	-0.00908403	0.0136276	0.00484245	-0.012346	PIM
TS-20	12	-0.0660745	-0.00314844	0.0230104	-0.0247443	0.0297582	0.0247628	-0.00531177	-0.0679763	-0.0558815	0.0772529	PIM
TS-21	13	-0.102124	-0.0366767	0.0198879	0.021999	0.0123995	0.0134844	-0.00831662	0.00708119	-0.0255803	-0.0243283	PIM
TS-22	14	-0.0796998	-0.0560987	0.00361662	0.0408349	0.0621728	0.034508	-0.0172058	0.00711189	-0.0588492	-0.00658942	PIM
TS-23	15	-0.0921942	-0.0994695	0.00176279	0.020821	0.0377461	0.0394289	-0.00768862	0.0213173	-0.0517164	-0.0217685	PIM
TS-24	16	-0.0994159	-0.10385	0.00716404	0.00877781	-0.000415061	0.0367687	-0.00362906	0.0214596	0.025122	-0.0145535	PIM
TS-25	17	0.0841168	-0.00555062	0.0625484	0.0250238	-0.0995258	0.096366	-0.0170002	0.00858458	0.0669416	0.0576169	CER
TS-26	18	0.0635873	-0.0188653	0.0666658	-0.0127609	0.0323163	-0.0233879	0.0855849	0.0330753	-0.0885163	-0.189143	CER
TS-27	19	0.0882525	-0.00348922	0.0221701	0.0149968	-0.0125363	-0.0470507	-0.23638	0.075647	0.00881943	0.0314085	CER
