pi	EigenGWAS
Solyc01g005110	Solyc01g005560
Solyc01g005120	Solyc01g005570
Solyc01g005130	Solyc01g005580
Solyc01g005140	Solyc01g005590
Solyc01g005150	Solyc01g005600
Solyc01g005160	Solyc01g005610
Solyc01g005170	Solyc01g005620
Solyc01g005180	Solyc01g005630
Solyc01g005190	Solyc01g005640
Solyc01g005200	Solyc01g005650
Solyc01g005210	Solyc01g005660
Solyc01g005220	Solyc01g005670
Solyc01g005230	Solyc01g005680
Solyc01g005240	Solyc01g005690
Solyc01g005250	Solyc01g005700
Solyc01g005260	Solyc01g005710
Solyc01g005270	Solyc01g005720
Solyc01g005280	Solyc01g005730
Solyc01g005290	Solyc01g005740
Solyc01g005300	Solyc01g005750
Solyc01g005310	Solyc01g005760
Solyc01g005320	Solyc01g005770
Solyc01g005330	Solyc01g005780
Solyc01g005340	Solyc01g005790
Solyc01g005350	Solyc01g005800
Solyc01g005360	Solyc01g005810
Solyc01g005370	Solyc01g005820
Solyc01g005380	Solyc01g005830
Solyc01g005390	Solyc01g005840
Solyc01g005400	Solyc01g005850
Solyc01g005410	Solyc01g005860
Solyc01g005570	Solyc01g005870
Solyc01g005580	Solyc01g005880
Solyc01g005590	Solyc01g005890
Solyc01g005600	Solyc01g005900
Solyc01g005610	Solyc01g005910
Solyc01g005620	Solyc01g005920
Solyc01g005630	Solyc01g005930
Solyc01g005640	Solyc01g005940
Solyc01g005650	Solyc01g005950
Solyc01g005660	Solyc01g005960
Solyc01g005670	Solyc01g005970
Solyc01g005680	Solyc01g005980
Solyc01g005690	Solyc01g005990
Solyc01g005700	Solyc01g006000
Solyc01g005710	Solyc01g006010
Solyc01g005720	Solyc01g006020
Solyc01g005730	Solyc01g006030
Solyc01g005740	Solyc01g006040
Solyc01g005750	Solyc01g006050
Solyc01g005760	Solyc01g006060
Solyc01g005770	Solyc01g006070
Solyc01g005780	Solyc01g006080
Solyc01g005790	Solyc01g006090
Solyc01g005800	Solyc01g006100
Solyc01g005810	Solyc01g006110
Solyc01g005820	Solyc01g006120
Solyc01g005830	Solyc01g006130
Solyc01g005840	Solyc01g006140
Solyc01g005850	Solyc01g006150
Solyc01g005860	Solyc01g006160
Solyc01g005870	Solyc01g006170
Solyc01g005880	Solyc01g006180
Solyc01g005890	Solyc01g006190
Solyc01g005900	Solyc01g006200
Solyc01g005910	Solyc01g006210
Solyc01g005920	Solyc01g006220
Solyc01g005930	Solyc01g006230
Solyc01g005940	Solyc01g006240
Solyc01g005950	Solyc01g006250
Solyc01g005960	Solyc01g006260
Solyc01g005970	Solyc01g006270
Solyc01g005980	Solyc01g006280
