Accessions	SlFM0600	class
TS-1	377098.174	BIG
TS-2	262870.6554	BIG
TS-3	331194.3449	BIG
TS-4	308857.3285	BIG
TS-5	238268.2959	BIG
TS-6	368622.1409	BIG
TS-7	420706.1334	BIG
TS-8	131493.6996	BIG
TS-9	350256.3229	BIG
TS-10	328705.2798	BIG
TS-11	344661.0718	BIG
TS-12	340910.8713	BIG
TS-13	779544.5921	CER
TS-15	294148.5913	PIM
TS-16	116871.602	PIM
TS-17	188341.3194	PIM
TS-18	242564.3814	PIM
TS-19	295937.0802	PIM
TS-20	179158.7457	PIM
TS-21	200255.3288	PIM
TS-22	375864.1139	PIM
TS-23	253053.133	PIM
TS-24	228692.2791	PIM
TS-25	429881.5419	CER
TS-26	421187.2829	CER
TS-27	279539.4576	CER
TS-29	341064.6964	CER
TS-30	802396.3511	CER
TS-33	423203.1809	CER
TS-34	648062.988	CER
TS-35	281236.7824	CER
TS-36	471239.709	CER
TS-37	152326.3653	CER
TS-38	456272.0059	CER
TS-39	189239.1174	CER
TS-40	559909.6394	CER
TS-42	411798.5435	BIG
TS-43	381295.068	BIG
TS-44	285443.4876	BIG
TS-45	391289.99	BIG
TS-47	392180.5493	BIG
TS-48	473676.1443	BIG
TS-50	302756.7603	PIM
TS-53	596491.6499	CER
TS-54	351069.8458	CER
TS-55	177325.8308	BIG
TS-57	626131.0332	CER
TS-58	449663.4333	BIG
TS-59	457941.0693	BIG
TS-60	349070.5518	BIG
TS-61	451199.2728	CER
TS-62	370220.5824	CER
TS-63	779865.6356	CER
TS-65	227173.2401	CER
TS-66	587260.0214	CER
TS-67	445544.9682	CER
TS-68	544441.9707	BIG
TS-69	388212.8091	BIG
TS-70	572940.004	CER
TS-71	632924.9339	CER
TS-72	460746.2133	CER
TS-74	548537.3928	BIG
TS-75	391901.0215	CER
TS-76	588866.082	BIG
TS-77	335265.7573	PIM
TS-78	450905.5118	BIG
TS-82	447417.6506	BIG
TS-83	357230.0998	CER
TS-84	650448.4144	CER
TS-85	583467.5379	BIG
TS-86	905483.5573	BIG
TS-88	556826.5541	BIG
TS-89	479789.8148	BIG
TS-90	563237.9259	BIG
TS-91	780830.439	CER
TS-92	446540.3687	PIM
TS-94	174293.2298	CER
TS-95	530330.7757	BIG
TS-96	638441.6276	CER
TS-97	145370.9178	CER
TS-98	606373.1024	CER
TS-99	496664.1595	CER
TS-100	595335.7532	BIG
TS-101	505924.3276	BIG
TS-103	356431.84	BIG
TS-104	290272.276	BIG
TS-105	1776358.5	CER
TS-106	790006.0199	CER
TS-107	679844.7444	CER
TS-108	413793.3896	BIG
TS-109	732894.0288	CER
TS-110	482174.4005	BIG
TS-111	450134.6165	BIG
TS-112	330988.8915	BIG
TS-113	571216.8234	BIG
TS-114	318002.8569	BIG
TS-115	533400.816	BIG
TS-116	1180113.562	CER
TS-117	323528.4842	BIG
TS-118	343770.2191	CER
TS-119	157017.9737	CER
TS-120	295172.3693	CER
TS-121	272886.3618	BIG
TS-122	303409.1396	BIG
TS-123	124401.8601	PIM
TS-124	77394.32325	PIM
TS-125	603568.2404	BIG
TS-127	550063.3638	BIG
TS-128	366490.4874	BIG
TS-129	390475.9451	CER
TS-130	778175.5103	BIG
TS-131	439828.3983	CER
TS-132	445393.7134	BIG
TS-133	203236.0074	BIG
TS-134	477259.2963	CER
TS-135	372723.0356	BIG
TS-136	404055.5363	BIG
TS-137	528039.6567	BIG
TS-138	393447.2515	CER
TS-139	294358.2393	BIG
TS-140	303990.2981	BIG
TS-141	241455.4677	BIG
TS-142	461832.1357	BIG
TS-143	435934.933	BIG
TS-144	279615.0634	PIM
TS-145	515624.7365	PIM
TS-147	302369.2626	BIG
TS-148	376814.8005	CER
TS-149	303087.6925	CER
TS-151	449654.2114	BIG
TS-152	325252.8318	BIG
TS-153	287167.1598	BIG
TS-154	419318.9038	CER
TS-155	394537.9194	BIG
TS-157	321072.6929	BIG
TS-158	479612.2998	CER
TS-159	338588.2394	BIG
TS-160	277588.0928	BIG
TS-161	214016.4588	BIG
TS-162	396526.7177	BIG
TS-163	376239.7758	BIG
TS-164	177972.9144	PIM
TS-165	248776.2134	CER
TS-166	328993.2455	BIG
TS-167	421027.8019	BIG
TS-168	227281.2006	BIG
TS-169	655554.5081	BIG
