	TS.123	TS.124	TS.164	TS.16	TS.17	TS.182	TS.20	TS.21	TS.418	TS.425	TS.105	TS.106	TS.107	TS.109	TS.13	TS.209	TS.221	TS.280	TS.63	TS.91
Solyc01g088790	0.909507	0.679299	0	0	0	0	0.460554	0	0	0.770536	0.137247	0	0.064356	0	0	0.380014	0	0.079576	0	0.122983
Solyc01g090730	0	0	0.151565	0.176506	0	0	0	0	0.253756	0.177178	0.016328	0.131645	0	0.050406	0	0	0	0	0.058127	0
Solyc01g091180	0	0	0	0	0	0	0	0	0	0	0	0	0.063802	0	0	0	0	0	0.018951	0
Solyc01g091330	7.850759	4.075795	1.830147	0.276253	2.380592	0.206516	3.3102	2.198299	4.883445	3.920767	0.17728	0.214116	0.976933	0.338526	0.606536	0.279888	0.358221	0.241269	0.224942	0.979152
Solyc01g097710	0	0	0	0.065893	0	0.063588	0	0	0	0.033243	0.04031	0.10862	0.074538	0	0	0.201738	0	0.120458	0	0.200921
Solyc01g097720	0	0	0	0.031276	0	0	0.07281	0.06163	0.072828	0	0.24778	0	0.327415	0	0.066999	0.517681	0.223072	0.060395	0.126206	0.266532
Solyc01g097820	55.037605	34.584011	43.176628	1.093428	38.928146	1.719714	87.257126	3.140073	51.307274	0.786369	0.560919	2.864727	2.470223	1.098572	1.67716	5.117213	2.077515	0.612546	2.873349	1.004582
Solyc01g097830	8.533644	8.365814	6.686766	0	8.030234	0	9.566093	0	9.225462	0	0	0.319888	0.478025	0	0	1.288421	0.266322	0	0.284473	0
Solyc01g098670	0	0	0.198428	0	0.172322	0	0	0.186205	0	0	0.247895	0.273826	0.117287	0	1.128883	0.538819	0.839737	0	0.173388	0.326155
Solyc01g098680	0.022553	0	0	0	0.035741	0	0	0	0	0.049632	0	0	0	0	0	0	0	0	0	0
Solyc01g099020	5.037446	1.167248	6.430871	11.190574	3.969565	11.046196	5.656538	11.881884	0.569816	8.067356	0.346552	0.213333	0.366293	1.76249	2.267738	0	0.531254	2.138391	3.197301	0.052909
Solyc01g099200	53.947308	23.436369	209.820755	153.997116	47.672703	26.944401	43.742905	35.209797	11.983862	90.253632	0.946907	3.984603	3.58574	83.260033	13.907048	3.720677	0.896093	23.620001	27.903677	66.742569
Solyc01g099210	10.22354	6.93587	1.199274	1.42406	2.619397	1.798342	12.244411	1.400192	10.483328	3.992349	0.068856	0.935084	0.254451	0.183948	1.836965	0.057992	0.495821	0.667079	0.037337	0.14356
Solyc01g099290	0.34912	0.420186	0.019984	0.091563	0.089054	0.173745	0.074855	0.178641	0.066828	0.257975	0.816432	1.30886	0.602323	0.476837	0.247497	0.835195	0.538566	0.307703	0.121121	0.358687
Solyc01g099330	0.103809	0	0.398618	0.035906	0	0.0693	0	0	0.115819	0.031409	0.147197	0.241612	0	0	0.172981	1.943132	0.148023	0	0.075943	0
Solyc03g121540	256.726044	157.790314	386.434387	186.154984	95.558281	16.361248	111.878014	181.6017	25.20598	158.124405	337.528961	38.017715	30.519485	61.379333	62.232662	4.176153	19.996481	29.704487	55.02425	23.357679
Solyc03g124050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028293	0
Solyc10g083250	0.158324	0.23131	0	0.107419	0	0.070764	0.059415	0.067055	0.638212	0.380612	0	0	0.054816	0.063034	0	0	0	0	0	0
Solyc10g083330	0.196886	0.510203	0.067405	0	0.136758	0	0.346763	0.28814	1.804494	0.350883	2.266927	1.377144	0.961135	1.933583	0.778159	7.148004	0.557331	0.071406	0.086732	1.114107
Solyc10g083390	0	0	0.122259	0	0	0	0	0	0	0	0	0	0.024751	0	0	0	0	0	0	0
Solyc10g083410	0	0	0	0	0	0	1.254651	0.206916	0.94025	0	0	0.280991	0	0	0	0	0	0	0.211628	0
Solyc10g083420	0	0	0.118923	0.099954	0.242967	0	0	0.115052	0	0	0	0	0	0	0.125981	0.175511	0.13003	0	0	0
Solyc10g083430	0	0.110478	0.171604	0	0	0	0	0	0	0	0	0.04204	0	0.044455	0	0	0	0	0	0
Solyc10g083510	0	0	0	0	0	0.040774	0	0	0	0	0.103132	0.240833	0.671934	0.809571	0.462878	0.345599	0.661199	0.343181	1.016452	0.61187
Solyc10g083530	0.511783	0.258243	1.284404	0.593397	0.31135	0.337448	0.040072	0.110458	0.149065	0.219312	0.195418	0.179556	0.23267	0.167222	0.308986	0.110254	0.076797	0.612872	0	0.050548
