Sweep	Chromsome	Start	End	Length(bp)	P	-log10(p)
EDS001	ch01	390000	1010000	620000	0.0007942600066666667	3.1251301040158546
EDS002	ch01	2960000	3060000	100000	0.001041616	2.9822923576369225
EDS003	ch01	3720000	3830000	110000	0.00096214355	3.0172303678190997
EDS004	ch01	5350000	5820000	470000	0.0008227481142857142	3.093687342342779
EDS005	ch01	6170000	6280000	110000	0.001038445	2.983630309550634
EDS006	ch01	11620000	11730000	110000	0.00097748655	3.009963650027354
EDS007	ch01	16070000	16220000	150000	0.0006906177166666667	6.017065254191998
EDS008	ch01	16440000	16700000	260000	0.0006349935333333333	3.2474494406936514
EDS009	ch01	22470000	22670000	200000	0.00036649596000000006	3.5267530530490667
EDS010	ch01	25330000	25440000	110000	0.00037754855	3.4266444988271183
EDS011	ch01	26180000	26310000	130000	0.0001946870475	3.76254963054437
EDS012	ch01	27860000	28050000	190000	0.00042896413	3.397017178215246
EDS013	ch01	28610000	28710000	100000	0.0008701956	3.0603831169759053
EDS014	ch01	30290000	30390000	100000	0.0009979219	3.000903446414306
EDS015	ch01	30630000	30730000	100000	0.00103405	2.9854584610495283
EDS016	ch01	31080000	31200000	120000	0.0007688971000000001	3.1210011781464715
EDS017	ch01	32500000	32610000	110000	0.00099361535	3.002879222548141
EDS018	ch01	33610000	33870000	260000	0.0007060645749999999	3.167203134982084
EDS019	ch01	36060000	36210000	150000	0.0006772787500000001	3.171355113963885
EDS020	ch01	36490000	36610000	120000	0.00089289275	3.0492062565618143
EDS021	ch01	38890000	39010000	120000	0.0007243229999999999	3.1403974498108114
EDS022	ch01	39400000	40210000	810000	0.0007832783357142858	3.126753107816512
EDS023	ch01	42040000	42450000	410000	0.0004038053952428572	18.930947378837626
EDS024	ch01	42720000	42910000	190000	0.0001446220444	8.324710523978899
EDS025	ch01	43620000	43720000	100000	0.0008896564	3.050777692677087
EDS026	ch01	44430000	44540000	110000	0.000374695	21.51278847207957
EDS027	ch01	45500000	45690000	190000	7.653366999999999e-05	4.116147460556175
EDS028	ch01	46080000	46210000	130000	0.000128935075	9.458915329584947
EDS029	ch01	46530000	46700000	170000	0.00096379884	3.0170708364634367
EDS030	ch01	47280000	47380000	100000	0.001032313	2.9861886035198983
EDS031	ch01	47620000	47930000	310000	0.000721794992857143	3.1581980719782083
EDS032	ch01	49400000	49550000	150000	0.000941324525	3.0266062369290916
EDS033	ch01	50750000	50920000	170000	0.0006920606	3.1787023559655117
EDS034	ch01	53750000	53860000	110000	0.0008709044	3.0639249701101265
EDS035	ch01	55070000	55170000	100000	0.0007939865	3.100186881735812
EDS036	ch01	57360000	57510000	150000	0.00064411345	3.215565801967433
EDS037	ch01	58370000	58580000	210000	0.0007148629333333334	3.162933591036259
EDS038	ch01	59150000	59420000	270000	0.0005372321055555555	3.292810055606403
EDS039	ch01	60270000	60420000	150000	0.0007425185833333333	3.1305058601961737
EDS040	ch01	60690000	61810000	1120000	0.0007389583500000001	3.1563747788053065
EDS041	ch01	62080000	62240000	160000	0.0008355508500000001	3.079973093897102
EDS042	ch01	64050000	64260000	210000	0.000592567	3.286338578458557
EDS043	ch01	64690000	65170000	480000	0.0008479968727272726	3.074743073507629
EDS044	ch01	65470000	66920000	1450000	0.0007374079526315788	3.1484507995081863
EDS045	ch01	70900000	71010000	110000	0.0008715175	3.0605136937349617
EDS046	ch01	75240000	75340000	100000	0.0009278397	3.032527049017016
EDS047	ch01	75610000	75720000	110000	0.0007541947	3.1226229238902548
EDS048	ch01	75990000	76330000	340000	0.00035253075384615384	3.5130415010075713
EDS049	ch01	76560000	76790000	230000	0.00036749465	3.6261837548079634
EDS050	ch01	77250000	77360000	110000	0.00094759805	3.023639288695792
EDS051	ch01	80150000	80310000	160000	0.0005939523142857143	3.226616489080834
EDS052	ch01	80830000	81480000	650000	0.0005485852892857144	3.277467150841328
EDS053	ch01	81830000	82130000	300000	0.0006754579000000001	3.1714295784035333
