SNP	CHR	BP	P	-log10P
SL2.40ch01_390000_490000	1	390000	3.714867e-04	3.4300567302748908
SL2.40ch01_400000_500000	1	400000	4.080609e-04	3.3892750169095613
SL2.40ch01_410000_510000	1	410000	3.406694e-04	3.467666874380396
SL2.40ch01_420000_520000	1	420000	8.691801e-04	3.060890225470616
SL2.40ch01_430000_530000	1	430000	1.027573e-03	2.9881873155628176
SL2.40ch01_440000_540000	1	440000	1.028256e-03	2.987898747649773
SL2.40ch01_450000_550000	1	450000	1.015555e-03	2.9932965512845966
SL2.40ch01_660000_760000	1	660000	8.452804e-04	3.0729992011420975
SL2.40ch01_670000_770000	1	670000	6.730486e-04	3.171953574780841
SL2.40ch01_680000_780000	1	680000	8.909070e-04	3.050167628729486
SL2.40ch01_690000_790000	1	690000	9.531596e-04	3.0208343736576206
SL2.40ch01_700000_800000	1	700000	8.229056e-04	3.0846499822245708
SL2.40ch01_870000_970000	1	870000	1.014271e-03	2.9938459916692812
SL2.40ch01_900000_1000000	1	900000	8.286915e-04	3.0816071157502765
SL2.40ch01_910000_1010000	1	910000	8.248553e-04	3.083622230751002
SL2.40ch01_2960000_3060000	1	2960000	1.041616e-03	2.9822923576369225
SL2.40ch01_3720000_3820000	1	3720000	9.173941e-04	3.037444057255794
SL2.40ch01_3730000_3830000	1	3730000	1.006893e-03	2.9970166783824053
SL2.40ch01_5350000_5450000	1	5350000	9.644603e-04	3.0157156444802125
SL2.40ch01_5360000_5460000	1	5360000	9.575725e-04	3.018828334687845
SL2.40ch01_5370000_5470000	1	5370000	6.178783e-04	3.2090970570199984
SL2.40ch01_5410000_5510000	1	5410000	1.032384e-03	2.9861587348193313
SL2.40ch01_5700000_5800000	1	5700000	8.529377e-04	3.069082689271312
SL2.40ch01_5710000_5810000	1	5710000	7.396527e-04	3.130972153078278
SL2.40ch01_5720000_5820000	1	5720000	5.943513e-04	3.2259567830424776
SL2.40ch01_6170000_6270000	1	6170000	1.046726e-03	2.980166988102897
SL2.40ch01_6180000_6280000	1	6180000	1.030164e-03	2.987093630998371
SL2.40ch01_11620000_11720000	1	11620000	9.955833e-04	3.001922396895381
SL2.40ch01_11630000_11730000	1	11630000	9.593898e-04	3.0180049031593272
SL2.40ch01_16070000_16170000	1	16070000	8.310465e-04	3.080374675218999
SL2.40ch01_16080000_16180000	1	16080000	9.311161e-04	3.0309961638675214
SL2.40ch01_16090000_16190000	1	16090000	9.270318e-04	3.0329053679831732
SL2.40ch01_16100000_16200000	1	16100000	5.926498e-04	3.2272018578230868
SL2.40ch01_16110000_16210000	1	16110000	8.618621e-04	3.0645622167739037
SL2.40ch01_16120000_16220000	1	16120000	2.156000e-21	20.6663512434853
SL2.40ch01_16440000_16540000	1	16440000	2.370431e-04	3.6251726818786194
SL2.40ch01_16450000_16550000	1	16450000	3.151200e-04	3.5015240321989145
SL2.40ch01_16460000_16560000	1	16460000	7.686680e-04	3.114261198432092
SL2.40ch01_16580000_16680000	1	16580000	8.526913e-04	3.0692081680959395
SL2.40ch01_16590000_16690000	1	16590000	8.386217e-04	3.0764339040737254
SL2.40ch01_16600000_16700000	1	16600000	7.978171e-04	3.0980966594826187
SL2.40ch01_22470000_22570000	1	22470000	8.761010e-04	3.0574458239527047
SL2.40ch01_22540000_22640000	1	22540000	3.769700e-04	3.423693210411908
SL2.40ch01_22550000_22650000	1	22550000	1.755933e-04	3.755492059207486
SL2.40ch01_22560000_22660000	1	22560000	1.755933e-04	3.755492059207486
SL2.40ch01_22570000_22670000	1	22570000	2.282222e-04	3.6416421124657483
SL2.40ch01_25330000_25430000	1	25330000	3.290217e-04	3.4827754580394688
SL2.40ch01_25340000_25440000	1	25340000	4.260754e-04	3.370513539614768
SL2.40ch01_26180000_26280000	1	26180000	2.174259e-04	3.6626887235565118
SL2.40ch01_26190000_26290000	1	26190000	2.243754e-04	3.6490247598485785
SL2.40ch01_26200000_26300000	1	26200000	2.690851e-04	3.5701103496793354
SL2.40ch01_26210000_26310000	1	26210000	6.786179e-05	4.168374689093055
SL2.40ch01_27860000_27960000	1	27860000	6.323224e-04	3.199061433046687
SL2.40ch01_27870000_27970000	1	27870000	6.600051e-04	3.1804527085591916
SL2.40ch01_27880000_27980000	1	27880000	2.961122e-04	3.528543699049305
SL2.40ch01_27890000_27990000	1	27890000	2.581525e-04	3.588123664802513
SL2.40ch01_27900000_28000000	1	27900000	3.895283e-04	3.4094609844936983
SL2.40ch01_27910000_28010000	1	27910000	3.573840e-04	3.4468648946598495
SL2.40ch01_27920000_28020000	1	27920000	2.841708e-04	3.546420550090423
