SNP	CHR	BP	P
SL2.40ch01_0_100000	1	0	6.482611e-03
SL2.40ch01_10000_110000	1	10000	6.059788e-03
SL2.40ch01_20000_120000	1	20000	6.142453e-03
SL2.40ch01_30000_130000	1	30000	7.867458e-03
SL2.40ch01_40000_140000	1	40000	8.321559e-03
SL2.40ch01_50000_150000	1	50000	7.145053e-03
SL2.40ch01_60000_160000	1	60000	5.797812e-03
SL2.40ch01_70000_170000	1	70000	5.703005e-03
SL2.40ch01_80000_180000	1	80000	3.763674e-03
SL2.40ch01_90000_190000	1	90000	3.572079e-03
SL2.40ch01_100000_200000	1	100000	3.655746e-03
SL2.40ch01_110000_210000	1	110000	3.341481e-03
SL2.40ch01_120000_220000	1	120000	4.369508e-03
SL2.40ch01_130000_230000	1	130000	7.779422e-03
SL2.40ch01_140000_240000	1	140000	7.275744e-03
SL2.40ch01_150000_250000	1	150000	6.669454e-03
SL2.40ch01_160000_260000	1	160000	6.787528e-03
SL2.40ch01_170000_270000	1	170000	6.422777e-03
SL2.40ch01_180000_280000	1	180000	6.411309e-03
SL2.40ch01_190000_290000	1	190000	6.715597e-03
SL2.40ch01_200000_300000	1	200000	8.488301e-03
SL2.40ch01_210000_310000	1	210000	9.227907e-03
SL2.40ch01_220000_320000	1	220000	1.097927e-02
SL2.40ch01_230000_330000	1	230000	6.514159e-03
SL2.40ch01_240000_340000	1	240000	6.232570e-03
SL2.40ch01_250000_350000	1	250000	7.825228e-03
SL2.40ch01_260000_360000	1	260000	7.154899e-03
SL2.40ch01_270000_370000	1	270000	7.366133e-03
SL2.40ch01_280000_380000	1	280000	7.725939e-03
SL2.40ch01_290000_390000	1	290000	7.753591e-03
SL2.40ch01_300000_400000	1	300000	6.598616e-03
SL2.40ch01_310000_410000	1	310000	6.265668e-03
SL2.40ch01_320000_420000	1	320000	3.040460e-03
SL2.40ch01_330000_430000	1	330000	2.477415e-03
SL2.40ch01_340000_440000	1	340000	2.375628e-03
SL2.40ch01_350000_450000	1	350000	1.982939e-03
SL2.40ch01_360000_460000	1	360000	1.907862e-03
SL2.40ch01_370000_470000	1	370000	1.959481e-03
SL2.40ch01_380000_480000	1	380000	1.490297e-03
SL2.40ch01_390000_490000	1	390000	3.714867e-04
SL2.40ch01_400000_500000	1	400000	4.080609e-04
SL2.40ch01_410000_510000	1	410000	3.406694e-04
SL2.40ch01_420000_520000	1	420000	8.691801e-04
SL2.40ch01_430000_530000	1	430000	1.027573e-03
SL2.40ch01_440000_540000	1	440000	1.028256e-03
SL2.40ch01_450000_550000	1	450000	1.015555e-03
SL2.40ch01_460000_560000	1	460000	1.128010e-03
SL2.40ch01_470000_570000	1	470000	1.354431e-03
SL2.40ch01_480000_580000	1	480000	2.068514e-03
SL2.40ch01_490000_590000	1	490000	2.117440e-03
SL2.40ch01_500000_600000	1	500000	1.668137e-03
SL2.40ch01_510000_610000	1	510000	1.976219e-03
SL2.40ch01_520000_620000	1	520000	1.767348e-03
SL2.40ch01_530000_630000	1	530000	2.098736e-03
SL2.40ch01_540000_640000	1	540000	3.037989e-03
SL2.40ch01_550000_650000	1	550000	3.138227e-03
SL2.40ch01_560000_660000	1	560000	3.093081e-03
SL2.40ch01_570000_670000	1	570000	2.898270e-03
SL2.40ch01_580000_680000	1	580000	1.942803e-03
SL2.40ch01_590000_690000	1	590000	2.103853e-03
SL2.40ch01_600000_700000	1	600000	2.838584e-03
SL2.40ch01_610000_710000	1	610000	2.947911e-03
SL2.40ch01_620000_720000	1	620000	2.891909e-03
SL2.40ch01_630000_730000	1	630000	2.272808e-03
SL2.40ch01_640000_740000	1	640000	1.092516e-03
SL2.40ch01_650000_750000	1	650000	1.152285e-03
SL2.40ch01_660000_760000	1	660000	8.452804e-04
SL2.40ch01_670000_770000	1	670000	6.730486e-04
SL2.40ch01_680000_780000	1	680000	8.909070e-04
SL2.40ch01_690000_790000	1	690000	9.531596e-04
SL2.40ch01_700000_800000	1	700000	8.229056e-04
SL2.40ch01_710000_810000	1	710000	1.354883e-03
SL2.40ch01_720000_820000	1	720000	4.102706e-03
SL2.40ch01_730000_830000	1	730000	4.294808e-03
SL2.40ch01_740000_840000	1	740000	4.517370e-03
SL2.40ch01_750000_850000	1	750000	4.173956e-03
SL2.40ch01_760000_860000	1	760000	4.373267e-03
SL2.40ch01_770000_870000	1	770000	4.440573e-03
SL2.40ch01_780000_880000	1	780000	3.820325e-03
SL2.40ch01_790000_890000	1	790000	3.834569e-03
SL2.40ch01_800000_900000	1	800000	4.461971e-03
SL2.40ch01_810000_910000	1	810000	4.586323e-03
SL2.40ch01_820000_920000	1	820000	1.882553e-03
SL2.40ch01_830000_930000	1	830000	1.765227e-03
SL2.40ch01_840000_940000	1	840000	1.466509e-03
SL2.40ch01_850000_950000	1	850000	1.312850e-03
SL2.40ch01_860000_960000	1	860000	1.268187e-03
SL2.40ch01_870000_970000	1	870000	1.014271e-03
SL2.40ch01_880000_980000	1	880000	1.090130e-03
SL2.40ch01_890000_990000	1	890000	1.055086e-03
SL2.40ch01_900000_1000000	1	900000	8.286915e-04
SL2.40ch01_910000_1010000	1	910000	8.248553e-04
SL2.40ch01_920000_1020000	1	920000	1.513307e-03
SL2.40ch01_930000_1030000	1	930000	2.347324e-03
SL2.40ch01_940000_1040000	1	940000	2.753164e-03
SL2.40ch01_950000_1050000	1	950000	3.114407e-03
SL2.40ch01_960000_1060000	1	960000	3.745712e-03
SL2.40ch01_970000_1070000	1	970000	5.632253e-03
SL2.40ch01_980000_1080000	1	980000	6.796378e-03
SL2.40ch01_990000_1090000	1	990000	6.241525e-03
SL2.40ch01_1000000_1100000	1	1000000	5.299602e-03
SL2.40ch01_1010000_1110000	1	1010000	5.262155e-03
SL2.40ch01_1020000_1120000	1	1020000	4.705051e-03
SL2.40ch01_1030000_1130000	1	1030000	3.261051e-03
SL2.40ch01_1040000_1140000	1	1040000	3.435560e-03
SL2.40ch01_1050000_1150000	1	1050000	5.182875e-03
SL2.40ch01_1060000_1160000	1	1060000	5.205753e-03
SL2.40ch01_1070000_1170000	1	1070000	4.341659e-03
SL2.40ch01_1080000_1180000	1	1080000	4.300830e-03
SL2.40ch01_1090000_1190000	1	1090000	4.824868e-03
SL2.40ch01_1100000_1200000	1	1100000	1.059708e-02
SL2.40ch01_1110000_1210000	1	1110000	1.794478e-02
SL2.40ch01_1120000_1220000	1	1120000	1.636564e-02
SL2.40ch01_1130000_1230000	1	1130000	1.674791e-02
SL2.40ch01_1140000_1240000	1	1140000	1.670611e-02
SL2.40ch01_1150000_1250000	1	1150000	1.033036e-02
SL2.40ch01_1160000_1260000	1	1160000	1.138033e-02
SL2.40ch01_1170000_1270000	1	1170000	9.668264e-03
SL2.40ch01_1180000_1280000	1	1180000	9.118806e-03
SL2.40ch01_1190000_1290000	1	1190000	1.057031e-02
SL2.40ch01_1200000_1300000	1	1200000	8.594398e-03
SL2.40ch01_1210000_1310000	1	1210000	6.717360e-03
SL2.40ch01_1220000_1320000	1	1220000	7.061825e-03
SL2.40ch01_1230000_1330000	1	1230000	9.670721e-03
SL2.40ch01_1240000_1340000	1	1240000	9.630356e-03
SL2.40ch01_1250000_1350000	1	1250000	1.118867e-02
SL2.40ch01_1260000_1360000	1	1260000	1.013703e-02
SL2.40ch01_1270000_1370000	1	1270000	1.115553e-02
SL2.40ch01_1280000_1380000	1	1280000	1.685125e-02
SL2.40ch01_1290000_1390000	1	1290000	1.509117e-02
SL2.40ch01_1300000_1400000	1	1300000	1.771652e-02
SL2.40ch01_1310000_1410000	1	1310000	1.753718e-02
SL2.40ch01_1320000_1420000	1	1320000	1.816715e-02
SL2.40ch01_1330000_1430000	1	1330000	1.750619e-02
SL2.40ch01_1340000_1440000	1	1340000	2.168037e-02
SL2.40ch01_1350000_1450000	1	1350000	2.321122e-02
SL2.40ch01_1360000_1460000	1	1360000	2.485808e-02
SL2.40ch01_1370000_1470000	1	1370000	2.486778e-02
SL2.40ch01_1380000_1480000	1	1380000	1.959719e-02
SL2.40ch01_1390000_1490000	1	1390000	1.956938e-02
SL2.40ch01_1400000_1500000	1	1400000	1.734701e-02
SL2.40ch01_1410000_1510000	1	1410000	1.759731e-02
SL2.40ch01_1420000_1520000	1	1420000	1.479969e-02
SL2.40ch01_1430000_1530000	1	1430000	1.240965e-02
SL2.40ch01_1440000_1540000	1	1440000	9.131020e-03
SL2.40ch01_1450000_1550000	1	1450000	6.207734e-03
SL2.40ch01_1460000_1560000	1	1460000	7.941286e-03
