SNP	CHR	BP	P
SL2.40ch01_0_100000	1	0	3.568102e-01
SL2.40ch01_10000_110000	1	10000	3.458614e-01
SL2.40ch01_20000_120000	1	20000	3.373871e-01
SL2.40ch01_30000_130000	1	30000	3.232995e-01
SL2.40ch01_40000_140000	1	40000	3.212754e-01
SL2.40ch01_50000_150000	1	50000	3.260774e-01
SL2.40ch01_60000_160000	1	60000	3.270395e-01
SL2.40ch01_70000_170000	1	70000	3.122348e-01
SL2.40ch01_80000_180000	1	80000	3.051253e-01
SL2.40ch01_90000_190000	1	90000	3.267873e-01
SL2.40ch01_100000_200000	1	100000	3.667219e-01
SL2.40ch01_110000_210000	1	110000	3.760933e-01
SL2.40ch01_120000_220000	1	120000	3.678521e-01
SL2.40ch01_130000_230000	1	130000	3.743776e-01
SL2.40ch01_140000_240000	1	140000	3.722093e-01
SL2.40ch01_150000_250000	1	150000	3.613247e-01
SL2.40ch01_160000_260000	1	160000	3.626509e-01
SL2.40ch01_170000_270000	1	170000	3.913130e-01
SL2.40ch01_180000_280000	1	180000	3.934943e-01
SL2.40ch01_190000_290000	1	190000	3.983288e-01
SL2.40ch01_200000_300000	1	200000	3.786127e-01
SL2.40ch01_210000_310000	1	210000	3.541956e-01
SL2.40ch01_220000_320000	1	220000	3.418963e-01
SL2.40ch01_230000_330000	1	230000	3.208486e-01
SL2.40ch01_240000_340000	1	240000	3.170351e-01
SL2.40ch01_250000_350000	1	250000	3.267099e-01
SL2.40ch01_260000_360000	1	260000	3.317786e-01
SL2.40ch01_270000_370000	1	270000	2.923968e-01
SL2.40ch01_280000_380000	1	280000	2.846318e-01
SL2.40ch01_290000_390000	1	290000	3.128241e-01
SL2.40ch01_300000_400000	1	300000	3.291184e-01
SL2.40ch01_310000_410000	1	310000	3.957033e-01
SL2.40ch01_320000_420000	1	320000	4.196926e-01
SL2.40ch01_330000_430000	1	330000	4.288453e-01
SL2.40ch01_340000_440000	1	340000	4.959238e-01
SL2.40ch01_350000_450000	1	350000	5.404535e-01
SL2.40ch01_360000_460000	1	360000	5.407226e-01
SL2.40ch01_370000_470000	1	370000	5.656069e-01
SL2.40ch01_380000_480000	1	380000	5.942824e-01
SL2.40ch01_390000_490000	1	390000	6.297503e-01
SL2.40ch01_400000_500000	1	400000	6.202290e-01
SL2.40ch01_410000_510000	1	410000	5.342915e-01
SL2.40ch01_420000_520000	1	420000	5.259573e-01
SL2.40ch01_430000_530000	1	430000	5.556021e-01
SL2.40ch01_440000_540000	1	440000	5.026269e-01
SL2.40ch01_450000_550000	1	450000	4.574431e-01
SL2.40ch01_460000_560000	1	460000	4.582013e-01
SL2.40ch01_470000_570000	1	470000	4.303690e-01
SL2.40ch01_480000_580000	1	480000	4.042652e-01
SL2.40ch01_490000_590000	1	490000	3.607186e-01
SL2.40ch01_500000_600000	1	500000	5.228539e-01
SL2.40ch01_510000_610000	1	510000	5.662245e-01
SL2.40ch01_520000_620000	1	520000	5.549612e-01
SL2.40ch01_530000_630000	1	530000	5.391695e-01
SL2.40ch01_540000_640000	1	540000	5.534856e-01
SL2.40ch01_550000_650000	1	550000	5.676082e-01
SL2.40ch01_560000_660000	1	560000	5.630437e-01
SL2.40ch01_570000_670000	1	570000	5.491372e-01
SL2.40ch01_580000_680000	1	580000	5.460681e-01
SL2.40ch01_590000_690000	1	590000	5.436940e-01
SL2.40ch01_600000_700000	1	600000	3.555553e-01
SL2.40ch01_610000_710000	1	610000	3.510354e-01
SL2.40ch01_620000_720000	1	620000	3.393886e-01
SL2.40ch01_630000_730000	1	630000	3.180292e-01
SL2.40ch01_640000_740000	1	640000	3.188444e-01
SL2.40ch01_650000_750000	1	650000	3.108920e-01
SL2.40ch01_660000_760000	1	660000	2.724605e-01
SL2.40ch01_670000_770000	1	670000	3.022104e-01
SL2.40ch01_680000_780000	1	680000	2.576799e-01
SL2.40ch01_690000_790000	1	690000	2.741854e-01
SL2.40ch01_700000_800000	1	700000	2.864735e-01
SL2.40ch01_710000_810000	1	710000	3.319879e-01
SL2.40ch01_720000_820000	1	720000	4.510502e-01
SL2.40ch01_730000_830000	1	730000	4.985498e-01
SL2.40ch01_740000_840000	1	740000	5.229770e-01
SL2.40ch01_750000_850000	1	750000	5.167385e-01
SL2.40ch01_760000_860000	1	760000	5.727829e-01
SL2.40ch01_770000_870000	1	770000	5.673238e-01
SL2.40ch01_780000_880000	1	780000	5.135611e-01
SL2.40ch01_790000_890000	1	790000	5.139431e-01
SL2.40ch01_800000_900000	1	800000	5.274492e-01
SL2.40ch01_810000_910000	1	810000	5.333581e-01
SL2.40ch01_820000_920000	1	820000	4.707940e-01
SL2.40ch01_830000_930000	1	830000	4.330127e-01
SL2.40ch01_840000_940000	1	840000	4.153145e-01
SL2.40ch01_850000_950000	1	850000	4.068514e-01
SL2.40ch01_860000_960000	1	860000	3.948725e-01
SL2.40ch01_870000_970000	1	870000	3.877399e-01
SL2.40ch01_880000_980000	1	880000	4.184545e-01
SL2.40ch01_890000_990000	1	890000	4.332462e-01
SL2.40ch01_900000_1000000	1	900000	4.411603e-01
SL2.40ch01_910000_1010000	1	910000	4.432702e-01
SL2.40ch01_920000_1020000	1	920000	4.400548e-01
SL2.40ch01_930000_1030000	1	930000	4.840620e-01
SL2.40ch01_940000_1040000	1	940000	4.892623e-01
SL2.40ch01_950000_1050000	1	950000	5.243985e-01
SL2.40ch01_960000_1060000	1	960000	5.447105e-01
SL2.40ch01_970000_1070000	1	970000	5.526697e-01
SL2.40ch01_980000_1080000	1	980000	6.501946e-01
SL2.40ch01_990000_1090000	1	990000	7.037212e-01
SL2.40ch01_1000000_1100000	1	1000000	7.452637e-01
SL2.40ch01_1010000_1110000	1	1010000	7.066118e-01
SL2.40ch01_1020000_1120000	1	1020000	7.218404e-01
SL2.40ch01_1030000_1130000	1	1030000	6.842431e-01
SL2.40ch01_1040000_1140000	1	1040000	6.905767e-01
SL2.40ch01_1050000_1150000	1	1050000	6.882669e-01
