Sweep	Chromsome	Start	End	Length(bp)	piCER*10-3	piPIM*10-3	piPIM/piCER
DS001	ch01	100000	290000	190000	1.130353477	3.9349094541000005	3.4811318177596937
DS002	ch01	400000	1250000	850000	1.1280555847587301	4.053941323015873	3.5937425227879483
DS003	ch01	3340000	3490000	150000	1.2337742635	3.8539237115	3.1236862572956405
DS004	ch01	4800000	6400000	1600000	0.9800614995388343	3.4138593567767	3.483311361973799
DS005	ch01	16090000	16240000	150000	1.231836204	4.040667325833333	3.280198546456533
DS006	ch01	59380000	59540000	160000	0.9663993931857143	3.0616732552857138	3.1681241491604992
DS007	ch01	59660000	60640000	980000	1.5928685559999993	5.3589033157752795	3.36430981425895
DS008	ch01	65450000	65580000	130000	1.25106831275	3.8208554042499996	3.0540741583097852
DS009	ch01	65780000	67510000	1730000	1.2502581776116668	4.8324872440833335	3.865191470544667
DS010	ch01	68280000	68590000	310000	0.8999153488833332	2.7683289791666668	3.0762104264604098
DS011	ch01	70900000	71050000	150000	1.123582446	3.422281098333334	3.045865579795053
DS012	ch01	74870000	75330000	460000	1.0164420667285714	3.120777851285714	3.070295842172262
DS013	ch01	75940000	76820000	880000	0.9476227141078949	2.984526940657894	3.149488605776581
DS014	ch01	77140000	77300000	160000	0.9823727145999999	3.0547902245714287	3.109604103586357
DS015	ch01	80020000	80510000	490000	0.9789416616740743	3.0833287218148158	3.149655227199197
DS016	ch01	80690000	80800000	110000	1.0295869450000001	3.1873014139999998	3.095708846619068
DS017	ch01	81130000	81240000	110000	1.343461992	4.089005597	3.043633255982727
DS018	ch01	83190000	83940000	750000	0.88986372612	3.003081574933333	3.3747656936499975
DS019	ch01	84330000	84440000	110000	1.4155403975	4.387659199	3.099635451414236
DS020	ch01	85630000	86100000	470000	1.083205999412	3.4172064210000004	3.154715190697774
DS021	ch01	86490000	87150000	660000	0.879260150221875	2.9622348276562502	3.369008395193108
DS022	ch01	88110000	88230000	120000	1.0370771646666668	3.190745072666667	3.0766708412601327
DS023	ch01	90160000	90300000	140000	0.82289479338	2.5809340228	3.136408254813401
DS024	ch02	20950000	21060000	110000	1.7464758905	5.437311419499999	3.113304597605036
DS025	ch02	30850000	31040000	190000	1.4675493928999999	4.6533936462000005	3.1708599851651376
DS026	ch02	33250000	33390000	140000	1.1963873616	3.8474951666	3.215927625191991
DS027	ch03	520000	680000	160000	1.0785686992	3.3789466738	3.1328061683101356
DS028	ch03	1660000	1770000	110000	0.8559132706	2.6268105905000003	3.069014911590974
