Chromsome	Gene_ID	Start	End	Length	Eigen_Improvement_Sweep_Region	InterPro_description
ch01	Solyc01g005560.2	394402	399248	4847	EDS001	Isocitrate dehydrogenase (AHRD V1 ***- D2D324_GOSHI)%3B contains Interpro domain(s)  IPR004790  Isocitrate dehydrogenase NADP-dependent%2C eukaryotic 
ch01	Solyc01g005570.2	400722	402826	2105	EDS001	Unknown Protein (AHRD V1)%3B contains Interpro domain(s)  IPR012438  Protein of unknown function DUF1639 
ch01	Solyc01g005580.2	406975	409234	2260	EDS001	Unknown Protein (AHRD V1)%3B contains Interpro domain(s)  IPR012438  Protein of unknown function DUF1639 
ch01	Solyc01g005590.2	416854	417271	418	EDS001	Unknown Protein (AHRD V1)
ch01	Solyc01g005600.2	420216	426321	6106	EDS001	Adenosine 5%26apos-phosphosulfate reductase 8 (AHRD V1 ***- Q5EUC2_MAIZE)%3B contains Interpro domain(s)  IPR017936  Thioredoxin-like 
ch01	Solyc01g005610.2	427617	430354	2738	EDS001	GDSL esterase/lipase At1g09390 (AHRD V1 ***- GDL2_ARATH)%3B contains Interpro domain(s)  IPR001087  Lipase%2C GDSL 
ch01	Solyc01g005620.2	430522	435101	4580	EDS001	Mitochondrial 2-oxoglutarate/malate carrier protein (AHRD V1 **** Q9FSF4_TOBAC)%3B contains Interpro domain(s)  IPR001993  Mitochondrial substrate carrier 
ch01	Solyc01g005630.1	444880	445584	705	EDS001	Ethylene responsive transcription factor 2a (AHRD V1 *-*- C0J9I7_9ROSA)%3B contains Interpro domain(s)  IPR001471  Pathogenesis-related transcriptional factor and ERF%2C DNA-binding 
ch01	Solyc01g005640.2	446769	454457	7689	EDS001	Uncharacterized plant-specific domain TIGR01589 family protein (AHRD V1 *-*- Q60CZ4_SOLDE)%3B contains Interpro domain(s)  IPR006476  Conserved hypothetical protein CHP01589%2C plant 
ch01	Solyc01g005650.1	455379	456988	1610	EDS001	Ariadne-like ubiquitin ligase (AHRD V1 **-* D3AZ84_POLPA)%3B contains Interpro domain(s)  IPR002867  Zinc finger%2C C6HC-type 
ch01	Solyc01g005660.1	460050	461945	1896	EDS001	Myb transcription factor (AHRD V1 **-- Q6Q789_VITVI)%3B contains Interpro domain(s)  IPR015495  Myb transcription factor 
ch01	Solyc01g005670.2	465032	467636	2605	EDS001	Disease resistance protein (AHRD V1 ***- D1GEG2_BRARP)
ch01	Solyc01g005680.2	472491	477313	4823	EDS001	Cytokinin riboside 5%26apos%3B-monophosphate phosphoribohydrolase LOG (AHRD V1 **-- LOG_ORYSJ)%3B contains Interpro domain(s)  IPR005269  Conserved hypothetical protein CHP00730 
ch01	Solyc01g005690.2	478540	480386	1847	EDS001	Unknown Protein (AHRD V1)
ch01	Solyc01g005700.2	480843	483447	2605	EDS001	Mutator-like transposase-like protein (AHRD V1 ***- Q9FI74_ARATH)%3B contains Interpro domain(s)  IPR004332  Transposase%2C MuDR%2C plant 
ch01	Solyc01g005710.2	486461	487064	604	EDS001	LRR receptor-like serine/threonine-protein kinase%2C RLP
